Change Component Designator: Old Designator=* New Designator=*?
Change Component Designator: Old Designator=C10 New Designator=C?
Change Component Designator: Old Designator=C11 New Designator=C?
Change Component Designator: Old Designator=C11 New Designator=C?
Change Component Designator: Old Designator=C11 New Designator=C?
Change Component Designator: Old Designator=C11 New Designator=C?
Change Component Designator: Old Designator=C11 New Designator=C?
Change Component Designator: Old Designator=C11 New Designator=C?
Change Component Designator: Old Designator=C11 New Designator=C?
Change Component Designator: Old Designator=C11 New Designator=C?
Change Component Designator: Old Designator=C12 New Designator=C?
Change Component Designator: Old Designator=C12 New Designator=C?
Change Component Designator: Old Designator=C12 New Designator=C?
Change Component Designator: Old Designator=MPU1 New Designator=MPU?
